Date,Symbol,Company,High,Low,Open,Close,Volume,Adj Close
2000-01-04,6758.T,sony,16125.0,4975.0,15000.0,15350.0,8794200,12844.4384765625
2000-01-05,6758.T,sony,13850.0,13850.0,13850.0,13850.0,2073200,11589.2822265625
2000-01-06,6758.T,sony,13625.0,12850.0,13550.0,12850.0,9919800,10752.5078125
2000-01-07,6758.T,sony,12050.0,11850.0,11850.0,11850.0,9360200,9915.736328125
2000-01-11,6758.T,sony,12850.0,12850.0,12850.0,12850.0,2482600,10752.5078125
2000-01-12,6758.T,sony,12895.0,12365.0,12550.0,12700.0,7863200,10626.9921875
2000-01-13,6758.T,sony,12395.0,12000.0,12350.0,12125.0,5948000,10145.8505859375
2000-01-14,6758.T,sony,12275.0,11720.0,12225.0,12000.0,6117000,10041.255859375
2000-01-17,6758.T,sony,12390.0,12085.0,12100.0,12315.0,3331800,10304.8359375
2000-01-18,6758.T,sony,12075.0,11815.0,12015.0,11890.0,3147000,9949.2109375
2000-01-19,6758.T,sony,12080.0,11725.0,11990.0,11725.0,3313200,9811.1435546875
2000-01-20,6758.T,sony,11975.0,11725.0,11800.0,11850.0,3108600,9915.736328125
2000-01-21,6758.T,sony,12100.0,11925.0,12000.0,12100.0,2778000,10124.9326171875
2000-01-24,6758.T,sony,12600.0,12360.0,12400.0,12575.0,4222000,10522.3974609375
2000-01-25,6758.T,sony,12800.0,12335.0,12375.0,12515.0,4025000,10472.193359375
2000-01-26,6758.T,sony,12765.0,12640.0,12675.0,12740.0,2824600,10660.4677734375
2000-01-27,6758.T,sony,13125.0,12900.0,13000.0,13125.0,4050800,10982.623046875
2000-01-28,6758.T,sony,13670.0,13155.0,13225.0,13545.0,4751600,11334.0703125
2000-01-31,6758.T,sony,13745.0,13250.0,13345.0,13480.0,3577600,11279.6748046875
2000-02-01,6758.T,sony,13750.0,13450.0,13750.0,13565.0,3635000,11350.802734375
2000-02-02,6758.T,sony,14075.0,13725.0,13760.0,13775.0,5774400,11526.5244140625
2000-02-03,6758.T,sony,14125.0,13980.0,14070.0,14050.0,3788400,11756.634765625
2000-02-04,6758.T,sony,14795.0,14450.0,14450.0,14590.0,5649200,12208.4931640625
2000-02-07,6758.T,sony,14995.0,14750.0,14990.0,14990.0,4387600,12543.2001953125
2000-02-08,6758.T,sony,15000.0,14355.0,14990.0,14575.0,4325800,12195.939453125
2000-02-09,6758.T,sony,14925.0,14775.0,14875.0,14785.0,4288400,12371.66015625
2000-02-10,6758.T,sony,14500.0,14205.0,14485.0,14355.0,4912600,12011.8505859375
